transaction_id,purchase_order_id,invoice_id,vendor_id,approver_employee_id,transaction_date,transaction_amount_inr,currency,payment_method,payment_reference,payment_status,payment_bank,department,branch,created_at,updated_at
TXN-000022,PO-2021-001875,INV-2021-002458,VEN-100304,EMP-20073,2021-02-27,768298.20,INR,NEFT,TXNREF000102666,Completed,Kotak Mahindra Bank,Procurement,Bengaluru,2021-02-27T17:45:49,2021-03-01T17:45:49
TXN-000023,PO-2021-000495,INV-2021-000911,VEN-100588,EMP-20096,2021-02-27,73538.84,INR,UPI,TXNREF000108208,Completed,HDFC Bank,Operations,Delhi,2021-02-27T14:52:21,2021-03-01T03:52:21
TXN-000024,PO-2021-001321,INV-2021-001828,VEN-100514,EMP-20006,2021-02-27,321879.42,INR,RTGS,UTR000113694,Completed,Axis Bank,Procurement,Chennai,2021-02-27T12:26:02,2021-03-01T10:26:02
TXN-000025,PO-2021-000170,INV-2021-000331,VEN-100237,EMP-20058,2021-02-28,128053.90,INR,NEFT,UTR000103982,Completed,HSBC,Procurement,Bengaluru,2021-02-28T12:30:02,2021-02-28T15:30:02
TXN-000026,PO-2021-000495,INV-2021-000910,VEN-100588,EMP-20087,2021-03-01,178327.56,INR,NEFT,TXNREF000100433,Completed,ICICI Bank,Operations,Gurugram,2021-03-01T12:45:32,2021-03-02T06:45:32
TXN-000027,PO-2021-001935,INV-2021-002526,VEN-100684,EMP-20111,2021-03-01,46844.89,INR,Wire Transfer,TXNREF000113547,Completed,HDFC Bank,Admin,Noida,2021-03-01T09:43:15,2021-03-01T16:43:15
TXN-000028,PO-2021-000014,INV-2021-000028,VEN-100506,EMP-20063,2021-03-01,144218.25,INR,Wire Transfer,TXNREF000110232,Completed,Kotak Mahindra Bank,IT,Hyderabad,2021-03-01T12:46:04,2021-03-02T04:46:04
TXN-000029,PO-2021-001301,INV-2021-001802,VEN-100706,EMP-20066,2021-03-03,147372.21,INR,Wire Transfer,PAYREF000102331,Completed,ICICI Bank,Procurement,Hyderabad,2021-03-03T14:55:09,2021-03-05T04:55:09
TXN-000030,PO-2021-000920,INV-2021-001395,VEN-100633,EMP-20007,2021-03-03,325851.16,USD,RTGS,UTR000109701,Completed,Axis Bank,IT,Pune,2021-03-03T15:44:38,2021-03-04T03:44:38
TXN-000031,PO-2021-000920,INV-2021-001395,VEN-100633,EMP-20019,2021-03-04,337467.44,USD,IMPS,PAYREF000110378,Completed,HSBC,IT,Mumbai,2021-03-04T15:16:48,2021-03-04T23:16:48
TXN-000032,PO-2021-000755,INV-2021-001213,VEN-100449,EMP-20004,2021-03-04,383804.16,INR,NEFT,TXNREF000104171,Completed,Kotak Mahindra Bank,Operations,Pune,2021-03-04T11:20:58,2021-03-05T03:20:58
TXN-000033,PO-2021-001540,INV-2021-002077,VEN-100692,EMP-20101,2021-03-07,151782.20,INR,NEFT,UTR000101072,Completed,Standard Chartered,IT,Noida,2021-03-07T13:53:15,2021-03-08T23:53:15
TXN-000034,PO-2021-000755,INV-2021-001212,VEN-100449,EMP-20096,2021-03-08,169270.01,INR,NEFT,UTR000111344,Completed,HSBC,Operations,Noida,2021-03-08T15:14:38,2021-03-10T06:14:38
TXN-000035,PO-2021-001540,INV-2021-002077,VEN-100692,EMP-20029,2021-03-08,72064.94,INR,RTGS,UTR000113514,Completed,SBI,IT,Mumbai,2021-03-08T11:29:44,2021-03-10T01:29:44
TXN-000036,PO-2021-000755,INV-2021-001212,VEN-100449,EMP-20119,2021-03-08,383842.78,INR,NEFT,UTR000103931,Completed,Axis Bank,Operations,Hyderabad,2021-03-08T16:29:38,2021-03-10T15:29:38
TXN-000037,PO-2021-001935,INV-2021-002526,VEN-100684,EMP-20047,2021-03-08,86798.73,INR,IMPS,PAYREF000102578,Completed,Kotak Mahindra Bank,Admin,Gurugram,2021-03-08T17:30:03,2021-03-09T18:30:03
TXN-000038,PO-2021-001935,INV-2021-002526,VEN-100684,EMP-20147,2021-03-09,141659.25,INR,IMPS,TXNREF000103930,Completed,ICICI Bank,Admin,Mumbai,2021-03-09T18:30:56,2021-03-09T20:30:56
TXN-000039,PO-2021-000920,INV-2021-001395,VEN-100633,EMP-20127,2021-03-10,685523.62,USD,IMPS,PAYREF000103688,Completed,Kotak Mahindra Bank,IT,Bengaluru,2021-03-10T10:59:18,2021-03-10T11:59:18
TXN-000040,PO-2021-000014,INV-2021-000028,VEN-100506,EMP-20086,2021-03-10,396173.21,INR,IMPS,UTR000100366,Completed,Kotak Mahindra Bank,IT,Hyderabad,2021-03-10T10:20:35,2021-03-12T04:20:35
TXN-000041,PO-2021-000629,INV-2021-001075,VEN-100405,EMP-20066,2021-03-10,36250.64,INR,NEFT,TXNREF000105490,Completed,Kotak Mahindra Bank,Operations,Delhi,2021-03-10T10:50:37,2021-03-11T14:50:37
TXN-000042,PO-2021-001196,INV-2021-001687,VEN-100391,EMP-20091,2021-03-11,2012419.48,INR,RTGS,PAYREF000100839,Completed,SBI,Operations,Gurugram,2021-03-11T11:35:42,2021-03-12T07:35:42
TXN-000043,PO-2021-001196,INV-2021-001687,VEN-100391,EMP-20026,2021-03-11,1064706.36,INR,Wire Transfer,TXNREF000107784,Completed,HSBC,Operations,Gurugram,2021-03-11T15:37:13,2021-03-12T19:37:13
TXN-000044,PO-2021-001196,INV-2021-001687,VEN-100391,EMP-20028,2021-03-12,636926.03,INR,UPI,TXNREF000108527,Completed,SBI,Operations,Bengaluru,2021-03-12T11:44:27,2021-03-13T13:44:27
TXN-000045,PO-2021-001387,INV-2021-001905,VEN-100474,EMP-20074,2021-03-15,5619461.82,INR,RTGS,UTR000100304,Completed,Kotak Mahindra Bank,Operations,Delhi,2021-03-15T14:21:25,2021-03-17T13:21:25
TXN-000046,PO-2021-000755,INV-2021-001212,VEN-100449,EMP-20106,2021-03-17,195910.77,INR,IMPS,UTR000108147,Completed,Standard Chartered,Operations,Delhi,2021-03-17T09:18:00,2021-03-18T23:18:00
TXN-000047,PO-2021-001877,INV-2021-002461,VEN-100676,EMP-20101,2021-03-17,163596.54,INR,RTGS,PAYREF000106500,Completed,Axis Bank,IT,Bengaluru,2021-03-17T09:03:00,2021-03-18T08:03:00
TXN-000048,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20087,2021-03-17,189826.60,USD,RTGS,PAYREF000101561,Completed,ICICI Bank,Procurement,Bengaluru,2021-03-17T15:13:29,2021-03-18T06:13:29
TXN-000049,PO-2021-001196,INV-2021-001687,VEN-100391,EMP-20080,2021-03-17,682373.31,INR,RTGS,TXNREF000107142,Completed,ICICI Bank,Operations,Bengaluru,2021-03-17T10:53:19,2021-03-18T19:53:19
TXN-000050,PO-2021-000292,INV-2021-000588,VEN-100390,EMP-20122,2021-03-18,375589.37,INR,NEFT,PAYREF000104726,Completed,SBI,Operations,Pune,2021-03-18T09:27:31,2021-03-18T23:27:31
TXN-000051,PO-2021-000504,INV-2021-000918,VEN-100322,EMP-20106,2021-03-18,1140684.98,INR,RTGS,TXNREF000104667,Completed,Kotak Mahindra Bank,Admin,Chennai,2021-03-18T11:14:47,2021-03-19T01:14:47
TXN-000052,PO-2021-001196,INV-2021-001687,VEN-100391,EMP-20127,2021-03-19,756185.41,INR,RTGS,PAYREF000109832,Completed,SBI,Operations,Noida,2021-03-19T14:51:48,2021-03-21T05:51:48
TXN-000053,PO-2021-000292,INV-2021-000588,VEN-100390,EMP-20037,2021-03-19,360555.53,INR,NEFT,UTR000106031,Completed,ICICI Bank,Operations,Gurugram,2021-03-19T14:41:35,2021-03-21T11:41:35
TXN-000054,PO-2021-000504,INV-2021-000918,VEN-100322,EMP-20136,2021-03-20,564146.91,INR,IMPS,PAYREF000109092,Completed,ICICI Bank,Admin,Gurugram,2021-03-20T14:36:11,2021-03-22T14:36:11
TXN-000055,PO-2021-000755,INV-2021-001213,VEN-100449,EMP-20123,2021-03-20,153313.58,INR,NEFT,UTR000107677,Completed,ICICI Bank,Operations,Chennai,2021-03-20T12:37:24,2021-03-21T14:37:24
TXN-000056,PO-2021-001540,INV-2021-002077,VEN-100692,EMP-20116,2021-03-21,67629.47,INR,NEFT,TXNREF000111547,Completed,ICICI Bank,IT,Chennai,2021-03-21T11:17:11,2021-03-22T00:17:11
TXN-000057,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20036,2021-03-21,124027.01,USD,NEFT,UTR000105449,Completed,ICICI Bank,Procurement,Noida,2021-03-21T11:06:05,2021-03-22T14:06:05
TXN-000058,PO-2021-001469,INV-2021-001995,VEN-100516,EMP-20091,2021-03-22,107628.95,INR,NEFT,PAYREF000108213,Completed,SBI,Operations,Mumbai,2021-03-22T18:58:26,2021-03-23T21:58:26
TXN-000059,PO-2021-001469,INV-2021-001995,VEN-100686,EMP-20005,2021-03-22,264441.72,INR,UPI,UTR000116034,Completed,Axis Bank,Operations,Hyderabad,2021-03-22T12:24:01,2021-03-23T22:24:01
TXN-000060,PO-2021-001321,INV-2021-001828,VEN-100514,EMP-20129,2021-03-22,580122.75,INR,Wire Transfer,PAYREF000102671,Completed,SBI,Procurement,Mumbai,2021-03-22T11:24:48,2021-03-24T05:24:48
TXN-000061,PO-2021-000014,INV-2021-000028,VEN-100506,EMP-20013,2021-03-23,204951.80,INR,IMPS,UTR000114947,Completed,Axis Bank,IT,Gurugram,2021-03-23T14:28:47,2021-03-24T15:28:47
TXN-000062,PO-2021-000920,INV-2021-001395,VEN-100633,EMP-20087,2021-03-24,271609.30,USD,RTGS,TXNREF000109059,Completed,HDFC Bank,IT,Hyderabad,2021-03-24T16:34:14,2021-03-24T18:34:14
TXN-000063,PO-2021-001600,INV-2021-002141,VEN-100384,EMP-20096,2021-03-24,1744488.93,INR,RTGS,PAYREF000103901,Completed,HDFC Bank,Procurement,Gurugram,2021-03-24T11:37:11,2021-03-25T01:37:11
TXN-000064,PO-2021-000971,INV-2021-001445,VEN-100659,EMP-20127,2021-03-25,1823069.03,INR,NEFT,TXNREF000108253,Failed,HDFC Bank,Procurement,Hyderabad,2021-03-25T12:37:49,2021-03-25T12:37:49
TXN-000065,PO-2021-001427,INV-2021-001949,VEN-100344,EMP-20106,2021-03-26,372154.81,INR,Wire Transfer,TXNREF000115973,Failed,ICICI Bank,IT,Pune,2021-03-26T09:35:01,2021-03-26T09:35:01
TXN-000066,PO-2021-000539,INV-2021-000956,VEN-100621,EMP-20114,2021-03-28,694854.46,INR,NEFT,PAYREF000112477,Completed,Axis Bank,Admin,Hyderabad,2021-03-28T15:55:44,2021-03-29T23:55:44
TXN-000067,PO-2021-000971,INV-2021-001445,VEN-100659,EMP-20028,2021-03-28,3075528.00,INR,RTGS,PAYREF000102112,Pending,SBI,Procurement,Hyderabad,2021-03-28T13:36:23,2021-03-28T13:36:23
TXN-000068,PO-2021-000170,INV-2021-000332,VEN-100237,EMP-20122,2021-03-29,142613.17,INR,NEFT,PAYREF000104996,Completed,HDFC Bank,Procurement,Mumbai,2021-03-29T10:59:08,2021-03-30T07:59:08
TXN-000069,PO-2021-000014,INV-2021-000028,VEN-100506,EMP-20042,2021-03-29,254577.40,INR,NEFT,UTR000107204,Completed,HDFC Bank,IT,Hyderabad,2021-03-29T09:06:56,2021-03-30T03:06:56
TXN-000070,PO-2021-000170,INV-2021-000332,VEN-100237,EMP-20124,2021-03-30,49568.20,INR,IMPS,UTR000109422,Completed,SBI,Procurement,Delhi,2021-03-30T09:51:36,2021-03-31T19:51:36
TXN-000071,PO-2021-001236,INV-2021-001734,VEN-100495,EMP-20122,2021-03-30,20056429.66,INR,Wire Transfer,PAYREF000115928,Completed,Axis Bank,IT,Hyderabad,2021-03-30T12:00:55,2021-03-30T15:00:55
TXN-000072,PO-2021-001387,INV-2021-001905,VEN-100474,EMP-20147,2021-03-30,1702359.64,INR,Wire Transfer,UTR000103992,Completed,Kotak Mahindra Bank,Operations,Pune,2021-03-30T15:10:53,2021-03-31T04:10:53
TXN-000073,PO-2021-001877,INV-2021-002461,VEN-100676,EMP-20040,2021-03-31,506796.45,INR,IMPS,TXNREF000104409,Completed,Axis Bank,IT,Chennai,2021-03-31T15:52:27,2021-04-01T01:52:27
TXN-000074,PO-2021-001875,INV-2021-002458,VEN-100304,EMP-20049,2021-03-31,391294.65,INR,IMPS,TXNREF000102866,Completed,HSBC,Procurement,Delhi,2021-03-31T16:13:59,2021-04-01T14:13:59
TXN-000075,PO-2021-000088,INV-2021-000164,VEN-100700,EMP-20099,2021-04-02,216892.59,INR,RTGS,PAYREF000101147,Completed,SBI,Legal,Mumbai,2021-04-02T14:56:16,2021-04-03T13:56:16
TXN-000076,PO-2021-000917,INV-2021-001392,VEN-100317,EMP-20007,2021-04-02,229301.21,INR,RTGS,PAYREF000109190,Completed,SBI,Procurement,Hyderabad,2021-04-02T18:03:32,2021-04-03T06:03:32
TXN-000077,PO-2021-001600,INV-2021-002141,VEN-100384,EMP-20088,2021-04-05,1184151.72,INR,NEFT,TXNREF000106060,Completed,Axis Bank,Procurement,Delhi,2021-04-05T15:24:59,2021-04-07T14:24:59
TXN-000078,PO-2021-000314,INV-2021-000619,VEN-100461,EMP-20087,2021-04-06,269723.48,INR,RTGS,PAYREF000104160,Completed,Axis Bank,Procurement,Mumbai,2021-04-06T09:10:05,2021-04-07T22:10:05
TXN-000079,PO-2021-000292,INV-2021-000584,VEN-100390,EMP-20063,2021-04-06,436053.48,INR,NEFT,TXNREF000111828,Completed,ICICI Bank,Operations,Delhi,2021-04-06T13:45:30,2021-04-07T23:45:30
TXN-000080,PO-2021-001600,INV-2021-002141,VEN-100384,EMP-20043,2021-04-07,924177.14,INR,RTGS,TXNREF000111954,Completed,SBI,Procurement,Chennai,2021-04-07T11:54:18,2021-04-09T11:54:18
TXN-000081,PO-2021-001877,INV-2021-002461,VEN-100676,EMP-20126,2021-04-08,231168.81,INR,Wire Transfer,PAYREF000112229,Completed,HDFC Bank,IT,Hyderabad,2021-04-08T12:23:25,2021-04-09T04:23:25
TXN-000082,PO-2021-000314,INV-2021-000619,VEN-100461,EMP-20077,2021-04-08,113169.00,INR,IMPS,PAYREF000109639,Completed,Standard Chartered,Procurement,Hyderabad,2021-04-08T15:58:17,2021-04-10T07:58:17
TXN-000083,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20074,2021-04-09,102709.70,USD,Wire Transfer,PAYREF000106891,Failed,Kotak Mahindra Bank,Procurement,Bengaluru,2021-04-09T13:22:52,2021-04-09T13:22:52
TXN-000084,PO-2021-001236,INV-2021-001734,VEN-100279,EMP-20096,2021-04-10,9850321.85,INR,NEFT,UTR000107328,Completed,HDFC Bank,IT,Pune,2021-04-10T18:49:10,2021-04-11T18:49:10
TXN-000085,PO-2021-000292,INV-2021-000584,VEN-100390,EMP-20116,2021-04-12,926105.42,INR,RTGS,UTR000116136,Completed,Kotak Mahindra Bank,Operations,Chennai,2021-04-12T11:01:26,2021-04-13T01:01:26
TXN-000086,PO-2021-000088,INV-2021-000165,VEN-100700,EMP-20111,2021-04-13,182719.05,INR,RTGS,UTR000103450,Completed,Standard Chartered,Legal,Delhi,2021-04-13T15:28:13,2021-04-14T21:28:13
TXN-000087,PO-2021-001236,INV-2021-001734,VEN-100279,EMP-20131,2021-04-13,20056429.66,INR,IMPS,UTR000104710,Completed,SBI,IT,Noida,2021-04-13T18:13:28,2021-04-14T22:13:28
TXN-000088,PO-2021-000292,INV-2021-000584,VEN-100390,EMP-20063,2021-04-13,402012.92,INR,IMPS,TXNREF000106447,Completed,Kotak Mahindra Bank,Operations,Bengaluru,2021-04-13T10:12:13,2021-04-15T09:12:13
TXN-000089,PO-2021-001387,INV-2021-001906,VEN-100474,EMP-20069,2021-04-14,3183366.84,INR,IMPS,TXNREF000114005,Completed,Axis Bank,Operations,Gurugram,2021-04-14T11:14:25,2021-04-15T12:14:25
TXN-000090,PO-2021-000292,INV-2021-000588,VEN-100390,EMP-20058,2021-04-15,437137.36,INR,NEFT,TXNREF000108881,Completed,HDFC Bank,Operations,Noida,2021-04-15T09:59:32,2021-04-17T00:59:32
TXN-000091,PO-2021-000292,INV-2021-000588,VEN-100390,EMP-20100,2021-04-15,862145.91,INR,IMPS,PAYREF000104118,Completed,Kotak Mahindra Bank,Operations,Noida,2021-04-15T16:02:31,2021-04-16T13:02:31
TXN-000092,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20060,2021-04-15,88190.76,USD,NEFT,PAYREF000113982,Completed,Kotak Mahindra Bank,Procurement,Bengaluru,2021-04-15T14:03:48,2021-04-16T08:03:48
TXN-000093,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20100,2021-04-18,123282.85,USD,RTGS,TXNREF000109234,Completed,SBI,Procurement,Mumbai,2021-04-18T15:21:02,2021-04-19T08:21:02
TXN-000094,PO-2021-001201,INV-2021-001695,VEN-100477,EMP-20141,2021-04-20,215134.11,INR,IMPS,UTR000111510,Completed,HDFC Bank,Admin,Pune,2021-04-20T16:58:27,2021-04-21T04:58:27
TXN-000095,PO-2021-001469,INV-2021-001995,VEN-100516,EMP-20052,2021-04-20,80812.20,INR,NEFT,UTR000106854,Completed,Axis Bank,Operations,Chennai,2021-04-20T09:02:12,2021-04-21T05:02:12
TXN-000096,PO-2021-000292,INV-2021-000585,VEN-100390,EMP-20028,2021-04-21,496145.68,INR,UPI,PAYREF000109040,Completed,HDFC Bank,Operations,Noida,2021-04-21T15:15:17,2021-04-23T03:15:17
TXN-000097,PO-2021-001387,INV-2021-001906,VEN-100474,EMP-20090,2021-04-21,6476245.27,INR,RTGS,UTR000104763,Completed,HDFC Bank,Operations,Gurugram,2021-04-21T09:00:42,2021-04-22T02:00:42
TXN-000098,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20039,2021-04-21,69843.68,USD,UPI,PAYREF000106862,Completed,HDFC Bank,Procurement,Bengaluru,2021-04-21T15:57:51,2021-04-22T18:57:51
TXN-000099,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20014,2021-04-21,117182.15,USD,NEFT,TXNREF000108052,Completed,Axis Bank,Procurement,Noida,2021-04-21T17:38:04,2021-04-23T17:38:04
TXN-000100,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20031,2021-04-23,120675.02,USD,NEFT,UTR000114733,Completed,HSBC,Procurement,Noida,2021-04-23T17:31:53,2021-04-24T21:31:53
TXN-000101,PO-2021-000508,INV-2021-000922,VEN-100267,EMP-20063,2021-04-23,84640.17,INR,RTGS,TXNREF000115025,Pending,Kotak Mahindra Bank,Operations,Pune,2021-04-23T10:10:13,2021-04-23T10:10:13
TXN-000102,PO-2021-000303,INV-2021-000604,VEN-100477,EMP-20081,2021-04-24,310855.96,INR,Wire Transfer,PAYREF000104889,Pending,ICICI Bank,Operations,Chennai,2021-04-24T13:57:21,2021-04-24T13:57:21
TXN-000103,PO-2021-000193,INV-2021-000381,VEN-100242,EMP-20089,2021-04-24,67888.03,USD,RTGS,PAYREF000111309,Completed,HSBC,Procurement,Mumbai,2021-04-24T15:18:01,2021-04-25T12:18:01
TXN-000104,PO-2021-000101,INV-2021-000193,VEN-100449,EMP-20026,2021-04-25,94516.35,INR,NEFT,PAYREF000108285,Completed,ICICI Bank,IT,Mumbai,2021-04-25T16:58:42,2021-04-26T19:58:42
TXN-000105,PO-2021-000303,INV-2021-000604,VEN-100477,EMP-20091,2021-04-25,216458.60,INR,NEFT,TXNREF000109866,Completed,Standard Chartered,Operations,Delhi,2021-04-25T09:29:38,2021-04-26T23:29:38
TXN-000106,PO-2021-000504,INV-2021-000918,VEN-100322,EMP-20001,2021-04-25,518041.18,INR,NEFT,PAYREF000112073,Completed,SBI,Admin,Delhi,2021-04-25T15:40:47,2021-04-26T22:40:47
TXN-000107,PO-2021-001485,INV-2021-002016,VEN-100276,EMP-20122,2021-04-25,301192.14,INR,RTGS,PAYREF000107703,Completed,Kotak Mahindra Bank,Operations,Delhi,2021-04-25T15:15:11,2021-04-27T10:15:11
TXN-000108,PO-2021-000292,INV-2021-000585,VEN-100390,EMP-20105,2021-04-26,856162.03,INR,NEFT,UTR000105137,Completed,SBI,Operations,Delhi,2021-04-26T11:23:39,2021-04-27T01:23:39
TXN-000109,PO-2021-000094,INV-2021-000179,VEN-100415,EMP-20121,2021-04-28,4472800.09,INR,Wire Transfer,UTR000116125,Completed,Axis Bank,Admin,Pune,2021-04-28T12:06:07,2021-04-28T23:06:07
TXN-000110,PO-2021-001600,INV-2021-002141,VEN-100384,EMP-20126,2021-04-28,572283.00,INR,IMPS,PAYREF000111422,Completed,HDFC Bank,Procurement,Bengaluru,2021-04-28T14:33:38,2021-04-29T05:33:38
TXN-000111,PO-2021-000094,INV-2021-000180,VEN-100415,EMP-20060,2021-04-28,4653593.10,INR,RTGS,UTR000104769,Completed,SBI,Admin,Delhi,2021-04-28T13:33:09,2021-04-29T15:33:09
TXN-000112,PO-2021-001996,INV-2021-002597,VEN-100494,EMP-20014,2021-04-28,494367.93,INR,Wire Transfer,PAYREF000102460,Completed,Standard Chartered,Operations,Gurugram,2021-04-28T16:51:48,2021-04-30T02:51:48
TXN-000113,PO-2021-001485,INV-2021-002016,VEN-100276,EMP-20063,2021-04-29,346985.65,INR,NEFT,PAYREF000106044,Completed,Standard Chartered,Operations,Bengaluru,2021-04-29T10:45:53,2021-04-30T10:45:53
TXN-000114,PO-2021-000539,INV-2021-000956,VEN-100621,EMP-20001,2021-04-29,618512.95,INR,RTGS,UTR000112913,Completed,HDFC Bank,Admin,Delhi,2021-04-29T11:38:52,2021-04-30T22:38:52
TXN-000115,PO-2021-001387,INV-2021-001906,VEN-100474,EMP-20093,2021-04-29,2208733.89,INR,RTGS,TXNREF000109264,Completed,Standard Chartered,Operations,Delhi,2021-04-29T09:41:21,2021-04-29T14:41:21
TXN-000116,PO-2021-001238,INV-2021-001737,VEN-100534,EMP-20111,2021-04-30,176864.29,INR,RTGS,TXNREF000109352,Completed,Axis Bank,IT,Delhi,2021-04-30T14:12:19,2021-04-30T20:12:19
TXN-000117,PO-2021-001460,INV-2021-001986,VEN-100369,EMP-20054,2021-04-30,31417.19,USD,RTGS,UTR000106666,Completed,Kotak Mahindra Bank,Procurement,Bengaluru,2021-04-30T12:26:05,2021-04-30T17:26:05
TXN-000118,PO-2021-001634,INV-2021-002180,VEN-100587,EMP-20123,2021-05-01,213062.70,INR,NEFT,UTR000111168,Completed,HSBC,IT,Mumbai,2021-05-01T16:45:22,2021-05-02T18:45:22
TXN-000119,PO-2021-000101,INV-2021-000193,VEN-100449,EMP-20039,2021-05-01,156337.14,INR,IMPS,UTR000105336,Completed,SBI,IT,Gurugram,2021-05-01T12:44:54,2021-05-02T12:44:54
TXN-000120,PO-2021-000665,INV-2021-001119,VEN-100673,EMP-20087,2021-05-01,79701.89,INR,Wire Transfer,PAYREF000110263,Completed,Axis Bank,Admin,Pune,2021-05-01T16:20:42,2021-05-02T23:20:42
