invoice_id,purchase_order_id,vendor_id,vendor_invoice_number,invoice_date,due_date,invoice_amount_inr,tax_amount_inr,total_amount_inr,currency,gst_invoice_number,match_status,invoice_status,verified_by_employee_id,verification_date,created_at,updated_at
INV-2024-000011,PO-2024-000005,VEN-100283,VINV/2024/58622,2024-10-11,2024-11-10,1177313.17,211916.37,1389229.54,INR,GST24INV101699,Matched,Paid,EMP-20014,2024-10-14,2024-10-11T17:55:00,2024-10-14T10:49:00
INV-2023-000012,PO-2023-000007,VEN-100507,VINV/2023/43514,2023-03-31,2023-05-15,353710.21,63667.84,417378.05,INR,GST23INV232418,Matched,Paid,EMP-20046,2023-04-06,2023-03-31T15:07:00,2023-04-06T13:09:00
INV-2023-000013,PO-2023-000007,VEN-100507,VINV/2023/74841,2023-04-05,2023-05-20,331197.93,59615.63,390813.56,INR,GST23INV880346,Matched,Paid,EMP-20099,2023-04-07,2023-04-05T14:15:00,2023-04-07T08:17:00
INV-2021-000014,PO-2021-000008,VEN-100396,VINV/2021/87593,2021-10-22,2021-11-21,329520.40,59313.67,388834.07,INR,GST21INV970173,Matched,Paid,EMP-20026,2021-10-23,2021-10-22T10:32:00,2021-10-23T18:57:00
INV-2021-000015,PO-2021-000008,VEN-100396,VINV/2021/37936,2021-11-01,2021-12-01,299925.52,53986.59,353912.11,INR,GST21INV435826,Matched,Under Verification,EMP-20092,2021-11-03,2021-11-01T12:15:00,2021-11-03T09:24:00
INV-2024-000016,PO-2023-000009,VEN-100334,VINV/2024/69021,2024-02-03,2024-03-19,234575.73,42223.63,276799.36,EUR,GST24INV300307,Partially Matched,Paid,EMP-20086,2024-02-07,2024-02-03T16:08:00,2024-02-07T08:50:00
INV-2024-000017,PO-2023-000009,VEN-100334,VINV/2024/11459,2024-01-02,2024-02-16,295346.31,53162.34,348508.65,EUR,GST24INV932526,Mismatched,Overdue,EMP-20046,2024-01-07,2024-01-02T10:12:00,2024-01-07T09:53:00
INV-2026-000018,PO-2026-000010,VEN-100707,VINV/2026/08611,2026-05-26,2026-06-25,581444.63,104660.03,686104.66,INR,GST26INV725870,Matched,Paid,EMP-20140,2026-05-29,2026-05-26T11:37:00,2026-05-29T11:00:00
INV-2026-000019,PO-2026-000010,VEN-100707,VINV/2026/62471,2026-07-03,2026-08-02,541011.68,97382.10,638393.78,INR,GST26INV139757,Partially Matched,Paid,EMP-20140,2026-07-04,2026-07-03T15:05:00,2026-07-04T14:58:00
INV-2026-000020,PO-2026-000011,VEN-100302,VINV/2026/68135,2026-07-04,2026-08-18,241854.66,43533.84,285388.50,INR,GST26INV977398,Matched,Rejected,EMP-20094,2026-07-11,2026-07-04T17:38:00,2026-07-11T08:22:00
INV-2026-000021,PO-2026-000011,VEN-100302,VINV/2026/14115,2026-06-26,2026-08-10,261312.15,47036.19,308348.34,INR,GST26INV766453,Matched,Paid,EMP-20085,2026-07-03,2026-06-26T14:36:00,2026-07-03T08:18:00
INV-2024-000022,PO-2024-000012,VEN-100245,VINV/2024/40884,2024-04-15,2024-05-15,5922132.09,1065983.78,6988115.87,INR,GST24INV262625,Matched,Paid,EMP-20020,2024-04-17,2024-04-15T11:39:00,2024-04-17T10:06:00
INV-2024-000023,PO-2024-000012,VEN-100245,VINV/2024/92098,2024-04-25,2024-05-25,6704353.46,1206783.62,7911137.08,INR,GST24INV465791,Matched,Under Verification,EMP-20136,2024-04-29,2024-04-25T18:36:00,2024-04-29T16:15:00
INV-2024-000024,PO-2024-000012,VEN-100245,VINV/2024/17951,2024-03-19,2024-04-18,6254449.02,1125800.82,7380249.84,INR,GST24INV567907,Partially Matched,Paid,EMP-20072,2024-03-20,2024-03-19T09:07:00,2024-03-20T14:56:00
INV-2026-000025,PO-2026-000013,VEN-100599,VINV/2026/79009,2026-07-10,2026-08-24,217976.81,39235.83,257212.64,INR,GST26INV551148,Matched,Paid,EMP-20004,2026-07-16,2026-07-10T18:24:00,2026-07-16T14:38:00
INV-2026-000026,PO-2026-000013,VEN-100599,VINV/2026/52507,2026-06-27,2026-08-11,224431.68,40397.70,264829.38,INR,GST26INV888806,Matched,Paid,EMP-20086,2026-07-02,2026-06-27T14:53:00,2026-07-02T13:52:00
INV-2021-000027,PO-2021-000014,VEN-100506,VINV/2021/69573,2021-04-02,2021-05-17,324622.52,58432.05,383054.57,INR,GST21INV196604,Matched,Disputed,EMP-20100,2021-04-03,2021-04-02T18:40:00,2021-04-03T13:06:00
INV-2021-000028,PO-2021-000014,VEN-100506,VINV/2021/84093,2021-02-19,2021-04-05,335740.01,60433.20,396173.21,INR,GST21INV651089,Matched,Paid,EMP-20098,2021-02-20,2021-02-19T15:40:00,2021-02-20T08:02:00
INV-2022-000029,PO-2022-000015,VEN-100238,VINV/2022/31019,2022-06-11,2022-07-11,71306.69,12835.20,84141.89,INR,GST22INV997056,Matched,Overdue,EMP-20022,2022-06-16,2022-06-11T12:07:00,2022-06-16T08:27:00
INV-2022-000030,PO-2022-000015,VEN-100238,VINV/2022/19453,2022-05-18,2022-06-17,59826.32,10768.74,70595.06,INR,GST22INV461350,Matched,Paid,EMP-20114,2022-05-22,2022-05-18T12:05:00,2022-05-22T17:34:00
INV-2023-000031,PO-2023-000016,VEN-100321,VINV/2023/91074,2023-07-03,2023-08-02,178925.44,32206.58,211132.02,INR,GST23INV597877,Matched,Approved,EMP-20020,2023-07-10,2023-07-03T16:18:00,2023-07-10T15:39:00
INV-2023-000032,PO-2023-000016,VEN-100321,VINV/2023/31753,2023-06-30,2023-07-30,194332.20,34979.80,229312.00,INR,GST23INV349875,Matched,Paid,EMP-20137,2023-07-07,2023-06-30T15:30:00,2023-07-07T12:01:00
INV-2022-000033,PO-2022-000017,VEN-100700,VINV/2022/35380,2022-03-11,2022-04-10,1440329.17,259259.25,1699588.42,INR,GST22INV298656,Matched,Paid,EMP-20041,2022-03-16,2022-03-11T11:20:00,2022-03-16T13:31:00
INV-2022-000034,PO-2022-000017,VEN-100700,VINV/2022/57659,2022-02-03,2022-03-05,1312771.06,236298.79,1549069.85,INR,GST22INV371315,Matched,Paid,EMP-20093,2022-02-04,2022-02-03T15:42:00,2022-02-04T16:24:00
INV-2021-000035,PO-2021-000018,VEN-100354,VINV/2021/80780,2021-06-01,2021-07-01,310174.14,55831.35,366005.49,INR,GST21INV640425,Matched,Under Verification,EMP-20086,2021-06-03,2021-06-01T18:22:00,2021-06-03T18:12:00
INV-2021-000036,PO-2021-000018,VEN-100354,VINV/2021/92210,2021-06-05,2021-07-05,385220.00,69339.60,454559.60,INR,GST21INV133456,Matched,Overdue,EMP-20105,2021-06-11,2021-06-05T12:50:00,2021-06-11T18:58:00
INV-2024-000037,PO-2024-000020,VEN-100523,VINV/2024/81449,2024-02-25,2024-04-10,332876.83,59917.83,392794.66,INR,GST24INV636836,Matched,Approved,EMP-20129,2024-03-03,2024-02-25T10:26:00,2024-03-03T12:55:00
INV-2024-000038,PO-2024-000020,VEN-100523,VINV/2024/97751,2024-02-12,2024-03-28,408848.05,73592.65,482440.70,INR,GST24INV890835,Partially Matched,Paid,EMP-20125,2024-02-18,2024-02-12T17:24:00,2024-02-18T13:00:00
INV-2025-000039,PO-2025-000021,VEN-100581,VINV/2025/43265,2025-12-10,2026-01-09,247351.18,44523.21,291874.39,INR,GST25INV339600,Matched,Paid,EMP-20129,2025-12-12,2025-12-10T14:37:00,2025-12-12T09:52:00
INV-2025-000040,PO-2025-000021,VEN-100581,VINV/2025/65188,2025-11-26,2025-12-26,264852.83,47673.51,312526.34,INR,GST25INV314383,Matched,Paid,EMP-20003,2025-11-29,2025-11-26T08:03:00,2025-11-29T17:57:00
INV-2025-000041,PO-2025-000021,VEN-100581,VINV/2025/88635,2025-12-03,2026-01-02,277581.79,49964.72,327546.51,INR,GST25INV368163,Matched,Approved,EMP-20100,2025-12-06,2025-12-03T14:29:00,2025-12-06T08:38:00
INV-2022-000042,PO-2022-000022,VEN-100632,VINV/2022/24670,2022-03-14,2022-04-28,37766.13,6797.90,44564.03,INR,GST22INV441687,Matched,Paid,EMP-20098,2022-03-19,2022-03-14T18:35:00,2022-03-19T10:56:00
INV-2022-000043,PO-2022-000022,VEN-100632,VINV/2022/40715,2022-04-06,2022-05-21,43473.91,7825.30,51299.21,INR,GST22INV537494,Matched,Paid,EMP-20020,2022-04-09,2022-04-06T10:23:00,2022-04-09T13:04:00
INV-2025-000044,PO-2025-000024,VEN-100583,VINV/2025/67058,2025-09-30,2025-10-30,154651.91,27837.34,182489.25,INR,GST25INV217889,Matched,Overdue,EMP-20088,2025-10-05,2025-09-30T18:10:00,2025-10-05T12:52:00
INV-2025-000045,PO-2025-000024,VEN-100583,VINV/2025/53926,2025-10-19,2025-11-18,133917.17,24105.09,158022.26,INR,GST25INV011256,Matched,Approved,EMP-20129,2025-10-25,2025-10-19T18:40:00,2025-10-25T08:44:00
INV-2025-000046,PO-2025-000025,VEN-100238,VINV/2025/72516,2025-03-25,2025-04-24,275630.49,49613.49,325243.98,INR,GST25INV594571,Partially Matched,Paid,EMP-20003,2025-03-27,2025-03-25T18:01:00,2025-03-27T10:31:00
INV-2025-000047,PO-2025-000025,VEN-100238,VINV/2025/03806,2025-03-15,2025-04-14,321426.93,57856.85,379283.78,INR,GST25INV104967,Matched,Approved,EMP-20024,2025-03-20,2025-03-15T10:10:00,2025-03-20T16:06:00
INV-2025-000048,PO-2025-000025,VEN-100238,VINV/2025/18865,2025-04-04,2025-05-04,349229.65,62861.34,412090.99,INR,GST25INV750212,Matched,Approved,EMP-20013,2025-04-10,2025-04-04T18:00:00,2025-04-10T17:20:00
INV-2025-000049,PO-2025-000025,VEN-100238,VINV/2025/50549,2025-04-15,2025-05-15,287127.70,51682.99,338810.69,INR,GST25INV020498,Matched,Paid,EMP-20130,2025-04-17,2025-04-15T09:22:00,2025-04-17T15:39:00
INV-2025-000050,PO-2025-000025,VEN-100238,VINV/2025/22746,2025-03-08,2025-04-07,343937.82,61908.81,405846.63,INR,GST25INV330085,Matched,Paid,EMP-20052,2025-03-10,2025-03-08T11:02:00,2025-03-10T17:54:00
INV-2025-000051,PO-2025-000025,VEN-100238,VINV/2025/94171,2025-04-01,2025-05-01,341762.37,61517.23,403279.60,INR,GST25INV613229,Matched,Approved,EMP-20111,2025-04-07,2025-04-01T09:15:00,2025-04-07T14:43:00
INV-2021-000052,PO-2021-000026,VEN-100731,VINV/2021/38103,2021-06-09,2021-07-09,243100.65,43758.12,286858.77,INR,GST21INV415265,Partially Matched,Overdue,EMP-20031,2021-06-11,2021-06-09T13:24:00,2021-06-11T08:56:00
INV-2021-000053,PO-2021-000026,VEN-100731,VINV/2021/50773,2021-05-14,2021-06-13,228428.54,41117.14,269545.68,INR,GST21INV200484,Matched,Paid,EMP-20024,2021-05-17,2021-05-14T14:52:00,2021-05-17T16:15:00
INV-2024-000054,PO-2024-000027,VEN-100236,VINV/2024/35346,2024-03-16,2024-04-15,309459.95,55702.79,365162.74,INR,GST24INV571334,Matched,Approved,EMP-20029,2024-03-18,2024-03-16T11:45:00,2024-03-18T09:12:00
INV-2024-000055,PO-2024-000027,VEN-100236,VINV/2024/82490,2024-04-21,2024-05-21,288358.88,51904.60,340263.48,INR,GST24INV608953,Matched,Under Verification,EMP-20094,2024-04-27,2024-04-21T13:13:00,2024-04-27T14:24:00
INV-2024-000056,PO-2024-000027,VEN-100236,VINV/2024/70080,2024-03-13,2024-04-12,368517.89,66333.22,434851.11,INR,GST24INV258213,Matched,Overdue,EMP-20055,2024-03-17,2024-03-13T17:57:00,2024-03-17T17:23:00
INV-2026-000057,PO-2026-000028,VEN-100257,VINV/2026/40736,2026-07-13,2026-08-27,132772.80,23899.10,156671.90,INR,GST26INV015730,Matched,Approved,EMP-20072,2026-07-17,2026-07-13T14:01:00,2026-07-17T17:09:00
INV-2026-000058,PO-2026-000028,VEN-100257,VINV/2026/38923,2026-07-09,2026-08-23,115929.36,20867.28,136796.64,INR,GST26INV202191,Matched,Paid,EMP-20022,2026-07-12,2026-07-09T09:35:00,2026-07-12T16:48:00
INV-2022-000059,PO-2022-000031,VEN-100258,VINV/2022/82395,2022-04-15,2022-05-15,310304.03,55854.73,366158.76,INR,GST22INV903119,Matched,Overdue,EMP-20093,2022-04-19,2022-04-15T14:54:00,2022-04-19T18:56:00
INV-2022-000060,PO-2022-000031,VEN-100258,VINV/2022/52498,2022-04-30,2022-05-30,372024.03,66964.33,438988.36,INR,GST22INV369218,Matched,Approved,EMP-20093,2022-05-06,2022-04-30T14:01:00,2022-05-06T15:15:00
INV-2022-000061,PO-2022-000032,VEN-100416,VINV/2022/25964,2022-12-02,2023-01-01,2771308.29,498835.49,3270143.78,INR,GST22INV793730,Matched,Disputed,EMP-20005,2022-12-07,2022-12-02T14:02:00,2022-12-07T10:27:00
INV-2022-000062,PO-2022-000032,VEN-100416,VINV/2022/57008,2022-12-04,2023-01-03,3038928.24,547007.08,3585935.32,INR,GST22INV702687,Matched,Approved,EMP-20127,2022-12-08,2022-12-04T11:36:00,2022-12-08T16:16:00
INV-2024-000063,PO-2023-000033,VEN-100633,VINV/2024/89270,2024-01-11,2024-02-10,232635.91,41874.46,274510.37,INR,GST24INV116589,Matched,Under Verification,EMP-20005,2024-01-17,2024-01-11T17:38:00,2024-01-17T08:15:00
INV-2023-000064,PO-2023-000033,VEN-100633,VINV/2023/55572,2023-11-24,2023-12-24,226851.18,40833.21,267684.39,INR,GST23INV464055,Partially Matched,Paid,EMP-20137,2023-11-29,2023-11-24T11:17:00,2023-11-29T09:22:00
INV-2022-000065,PO-2022-000035,VEN-100694,VINV/2022/99867,2022-12-15,2023-01-14,552697.18,99485.49,652182.67,INR,GST22INV198492,Partially Matched,Approved,EMP-20045,2022-12-20,2022-12-15T14:43:00,2022-12-20T10:31:00
INV-2022-000066,PO-2022-000035,VEN-100694,VINV/2022/46901,2022-12-09,2023-01-08,523911.92,94304.15,618216.07,INR,GST22INV364097,Partially Matched,Paid,EMP-20052,2022-12-11,2022-12-09T16:16:00,2022-12-11T08:10:00
INV-2026-000067,PO-2026-000037,VEN-100633,VINV/2026/90640,2026-06-02,2026-07-02,329679.24,59342.26,389021.50,INR,GST26INV466649,Matched,Under Verification,EMP-20110,2026-06-04,2026-06-02T11:45:00,2026-06-04T08:32:00
INV-2026-000068,PO-2026-000037,VEN-100633,VINV/2026/99683,2026-07-09,2026-08-08,363587.74,65445.79,429033.53,INR,GST26INV986938,Partially Matched,Paid,EMP-20086,2026-07-10,2026-07-09T18:52:00,2026-07-10T16:27:00
INV-2022-000069,PO-2022-000039,VEN-100655,VINV/2022/63781,2022-06-18,2022-07-18,373657.62,67258.37,440915.99,INR,GST22INV216461,Matched,Overdue,EMP-20045,2022-06-21,2022-06-18T09:44:00,2022-06-21T08:23:00
INV-2022-000070,PO-2022-000039,VEN-100655,VINV/2022/47576,2022-05-27,2022-06-26,398136.29,71664.53,469800.82,INR,GST22INV303569,Matched,Under Verification,EMP-20024,2022-05-31,2022-05-27T10:20:00,2022-05-31T15:36:00
INV-2021-000071,PO-2021-000040,VEN-100524,VINV/2021/56917,2021-10-29,2021-11-28,334422.33,60196.02,394618.35,INR,GST21INV512066,Matched,Paid,EMP-20086,2021-10-30,2021-10-29T17:16:00,2021-10-30T18:31:00
INV-2021-000072,PO-2021-000040,VEN-100524,VINV/2021/97970,2021-09-16,2021-10-16,388669.99,69960.60,458630.59,INR,GST21INV029013,Matched,Approved,EMP-20141,2021-09-18,2021-09-16T12:41:00,2021-09-18T09:08:00
INV-2025-000073,PO-2025-000041,VEN-100617,VINV/2025/80845,2025-09-26,2025-10-26,295571.86,53202.93,348774.79,INR,GST25INV342542,Matched,Paid,EMP-20031,2025-10-02,2025-09-26T09:50:00,2025-10-02T12:47:00
INV-2025-000074,PO-2025-000041,VEN-100617,VINV/2025/74301,2025-09-17,2025-10-17,318644.83,57356.07,376000.90,INR,GST25INV841781,Matched,Paid,EMP-20094,2025-09-18,2025-09-17T12:15:00,2025-09-18T08:06:00
INV-2023-000075,PO-2023-000042,VEN-100543,VINV/2023/18598,2023-07-08,2023-10-06,722853.65,130113.66,852967.31,INR,GST23INV721404,Partially Matched,Paid,EMP-20031,2023-07-13,2023-07-08T12:38:00,2023-07-13T18:05:00
INV-2023-000076,PO-2023-000042,VEN-100543,VINV/2023/04198,2023-07-20,2023-10-18,565116.08,101720.89,666836.97,INR,GST23INV881667,Matched,Paid,EMP-20104,2023-07-22,2023-07-20T15:12:00,2023-07-22T13:00:00
INV-2023-000077,PO-2023-000043,VEN-100443,VINV/2023/01154,2023-04-29,2023-05-29,78045.92,14048.27,92094.19,INR,GST23INV698461,Matched,Paid,EMP-20114,2023-05-02,2023-04-29T14:56:00,2023-05-02T09:28:00
INV-2023-000078,PO-2023-000043,VEN-100443,VINV/2023/42428,2023-04-20,2023-05-20,63280.62,11390.51,74671.13,INR,GST23INV541884,Partially Matched,Paid,EMP-20093,2023-04-24,2023-04-20T17:12:00,2023-04-24T09:34:00
INV-2023-000079,PO-2023-000045,VEN-100521,VINV/2023/74059,2023-11-04,2023-12-04,393422.96,70816.13,464239.09,INR,GST23INV598869,Mismatched,Approved,EMP-20013,2023-11-09,2023-11-04T18:21:00,2023-11-09T18:19:00
INV-2023-000080,PO-2023-000045,VEN-100521,VINV/2023/11169,2023-11-21,2023-12-21,389672.98,70141.14,459814.12,INR,GST23INV154055,Partially Matched,Paid,EMP-20004,2023-11-27,2023-11-21T11:14:00,2023-11-27T15:44:00
INV-2021-000081,PO-2021-000046,VEN-100343,VINV/2021/26585,2021-07-22,2021-09-20,2362297.35,425213.52,2787510.87,INR,GST21INV574740,Matched,Paid,EMP-20104,2021-07-23,2021-07-22T14:16:00,2021-07-23T11:11:00
INV-2021-000082,PO-2021-000046,VEN-100343,VINV/2021/75066,2021-07-08,2021-09-06,2284890.61,411280.31,2696170.92,INR,GST21INV730568,Partially Matched,Approved,EMP-20113,2021-07-12,2021-07-08T11:35:00,2021-07-12T11:34:00
INV-2026-000083,PO-2026-000047,VEN-100265,VINV/2026/93665,2026-05-13,2026-06-27,94892.21,17080.60,111972.81,INR,GST26INV879282,Matched,Overdue,EMP-20104,2026-05-18,2026-05-13T10:55:00,2026-05-18T16:32:00
INV-2026-000084,PO-2026-000047,VEN-100265,VINV/2026/48938,2026-06-06,2026-07-21,97050.60,17469.11,114519.71,INR,GST26INV813867,Mismatched,Overdue,EMP-20031,2026-06-10,2026-06-06T11:36:00,2026-06-10T09:08:00
INV-2025-000085,PO-2025-000048,VEN-100245,VINV/2025/11496,2025-04-01,2025-05-01,370426.24,66676.72,437102.96,INR,GST25INV651345,Matched,Paid,EMP-20045,2025-04-02,2025-04-01T15:19:00,2025-04-02T10:27:00
INV-2025-000086,PO-2025-000048,VEN-100245,VINV/2025/31366,2025-05-15,2025-06-14,347228.66,62501.16,409729.82,INR,GST25INV391135,Matched,Overdue,EMP-20086,2025-05-22,2025-05-15T18:00:00,2025-05-22T12:07:00
INV-2021-000087,PO-2021-000050,VEN-100438,VINV/2021/04476,2021-07-11,2021-09-09,703620.50,126651.69,830272.19,INR,GST21INV970308,Matched,Paid,EMP-20022,2021-07-14,2021-07-11T13:35:00,2021-07-14T17:07:00
INV-2021-000088,PO-2021-000050,VEN-100438,VINV/2021/14473,2021-07-24,2021-09-22,644477.93,116006.03,760483.96,INR,GST21INV077338,Matched,Paid,EMP-20131,2021-07-31,2021-07-24T15:07:00,2021-07-31T08:31:00
INV-2023-000089,PO-2023-000051,VEN-100708,VINV/2023/99804,2023-02-21,2023-04-07,1232502.03,221850.37,1454352.40,INR,GST23INV847449,Matched,Overdue,EMP-20029,2023-02-24,2023-02-21T17:56:00,2023-02-24T16:44:00
INV-2023-000090,PO-2023-000051,VEN-100708,VINV/2023/84501,2023-02-12,2023-03-29,1338178.92,240872.21,1579051.13,INR,GST23INV712521,Matched,Paid,EMP-20005,2023-02-14,2023-02-12T08:04:00,2023-02-14T17:52:00
INV-2023-000091,PO-2023-000051,VEN-100708,VINV/2023/17161,2023-02-28,2023-04-14,1265362.30,227765.21,1493127.51,INR,GST23INV617846,Mismatched,Approved,EMP-20094,2023-03-02,2023-02-28T13:33:00,2023-03-02T12:57:00
INV-2022-000092,PO-2021-000052,VEN-100521,VINV/2022/43750,2022-01-22,2022-02-21,359473.84,64705.29,424179.13,INR,GST22INV237626,Partially Matched,Approved,EMP-20093,2022-01-25,2022-01-22T13:00:00,2022-01-25T17:30:00
INV-2022-000093,PO-2021-000052,VEN-100521,VINV/2022/75174,2022-02-16,2022-03-18,405341.34,72961.44,478302.78,INR,GST22INV553804,Mismatched,Approved,EMP-20072,2022-02-19,2022-02-16T09:32:00,2022-02-19T13:36:00
INV-2022-000094,PO-2022-000053,VEN-100566,VINV/2022/36908,2022-09-18,2022-10-18,274695.92,49445.27,324141.19,INR,GST22INV831565,Partially Matched,Paid,EMP-20100,2022-09-24,2022-09-18T18:36:00,2022-09-24T09:23:00
INV-2022-000095,PO-2022-000053,VEN-100566,VINV/2022/53211,2022-09-17,2022-10-17,277753.67,49995.66,327749.33,INR,GST22INV350673,Mismatched,Under Verification,EMP-20140,2022-09-24,2022-09-17T11:22:00,2022-09-24T16:45:00
INV-2026-000096,PO-2025-000054,VEN-100456,VINV/2026/00948,2026-02-01,2026-04-02,131682.11,23702.78,155384.89,INR,GST26INV931939,Matched,Paid,EMP-20052,2026-02-03,2026-02-01T11:22:00,2026-02-03T10:13:00
INV-2026-000097,PO-2025-000054,VEN-100456,VINV/2026/95245,2026-01-18,2026-03-19,136496.21,24569.32,161065.53,INR,GST26INV599680,Matched,Under Verification,EMP-20132,2026-01-21,2026-01-18T09:09:00,2026-01-21T12:16:00
INV-2023-000098,PO-2023-000055,VEN-100359,VINV/2023/90477,2023-07-24,2023-08-08,192298.62,34613.75,226912.37,INR,GST23INV449074,Matched,Approved,EMP-20033,2023-07-27,2023-07-24T12:37:00,2023-07-27T15:22:00
INV-2023-000099,PO-2023-000055,VEN-100359,VINV/2023/02631,2023-07-23,2023-08-07,188048.00,33848.64,221896.64,INR,GST23INV228920,Partially Matched,Paid,EMP-20004,2023-07-26,2023-07-23T10:40:00,2023-07-26T11:45:00
INV-2024-000100,PO-2024-000056,VEN-100714,VINV/2024/75430,2024-03-10,2024-04-09,229047.19,41228.49,270275.68,EUR,GST24INV357733,Partially Matched,Approved,EMP-20013,2024-03-11,2024-03-10T10:38:00,2024-03-11T09:04:00
INV-2024-000101,PO-2024-000056,VEN-100714,VINV/2024/63744,2024-03-19,2024-04-18,202535.22,36456.34,238991.56,EUR,GST24INV425007,Matched,Overdue,EMP-20004,2024-03-22,2024-03-19T11:20:00,2024-03-22T08:41:00
INV-2022-000102,PO-2022-000057,VEN-100436,VINV/2022/52371,2022-03-16,2022-04-15,318310.88,57295.96,375606.84,INR,GST22INV269503,Matched,Paid,EMP-20140,2022-03-23,2022-03-16T17:21:00,2022-03-23T15:38:00
INV-2022-000103,PO-2022-000057,VEN-100436,VINV/2022/12249,2022-02-09,2022-03-11,324699.75,58445.95,383145.70,INR,GST22INV019505,Matched,Approved,EMP-20015,2022-02-15,2022-02-09T14:39:00,2022-02-15T13:10:00
INV-2021-000104,PO-2021-000058,VEN-100639,VINV/2021/43364,2021-03-27,2021-05-26,420025.36,75604.56,495629.92,INR,GST21INV241176,Partially Matched,Paid,EMP-20131,2021-04-02,2021-03-27T16:09:00,2021-04-02T17:36:00
INV-2021-000105,PO-2021-000058,VEN-100639,VINV/2021/69421,2021-03-24,2021-05-23,466918.07,84045.25,550963.32,INR,GST21INV986648,Partially Matched,Approved,EMP-20125,2021-03-27,2021-03-24T15:35:00,2021-03-27T13:33:00
INV-2021-000106,PO-2021-000058,VEN-100639,VINV/2021/11785,2021-02-09,2021-04-10,454215.70,81758.83,535974.53,INR,GST21INV982464,Matched,Approved,EMP-20094,2021-02-11,2021-02-09T10:40:00,2021-02-11T14:48:00
INV-2024-000107,PO-2024-000060,VEN-100355,VINV/2024/23257,2024-08-19,2024-09-18,205597.24,37007.50,242604.74,INR,GST24INV913137,Matched,Paid,EMP-20055,2024-08-25,2024-08-19T17:23:00,2024-08-25T10:57:00
INV-2024-000108,PO-2024-000060,VEN-100355,VINV/2024/50991,2024-07-19,2024-08-18,260145.10,46826.12,306971.22,INR,GST24INV482449,Matched,Paid,EMP-20104,2024-07-25,2024-07-19T15:13:00,2024-07-25T13:57:00
INV-2024-000109,PO-2024-000060,VEN-100355,VINV/2024/29900,2024-08-29,2024-09-28,251024.68,45184.44,296209.12,INR,GST24INV591608,Matched,Under Verification,EMP-20141,2024-09-05,2024-08-29T14:43:00,2024-09-05T13:03:00
INV-2023-000110,PO-2023-000061,VEN-100287,VINV/2023/30328,2023-04-07,2023-05-22,346418.68,62355.36,408774.04,INR,GST23INV371515,Matched,Approved,EMP-20055,2023-04-13,2023-04-07T08:16:00,2023-04-13T14:15:00
