purchase_order_id,vendor_id,requested_by_employee_id,approved_by_employee_id,department,po_type,procurement_category,po_date,expected_delivery_date,po_amount_inr,currency,payment_terms_days,po_status,priority,fiscal_year,created_at,updated_at
PO-2025-000048,VEN-100245,EMP-20123,EMP-20007,Procurement,Standard,Raw Materials,2025-03-25,2025-04-09,762737.76,INR,30,Approved,High,2024-25,2025-03-25T11:12:00,2025-03-25T13:12:00
PO-2021-000049,VEN-100389,EMP-20034,EMP-20098,Procurement,Standard,Professional Services,2021-12-10,2022-01-03,113651.82,INR,30,Cancelled,Low,2021-22,2021-12-10T17:47:00,2021-12-11T19:47:00
PO-2021-000050,VEN-100438,EMP-20025,EMP-20075,IT,Service,Construction & Contracting,2021-06-05,2021-07-04,1396886.39,INR,60,Closed,Medium,2021-22,2021-06-05T18:15:00,2021-06-06T22:15:00
PO-2023-000051,VEN-100708,EMP-20133,EMP-20008,IT,Blanket,Logistics & Transportation,2023-01-29,2023-03-01,4083022.47,INR,45,Closed,Medium,2022-23,2023-01-29T16:41:00,2023-02-03T16:41:00
PO-2021-000052,VEN-100521,EMP-20108,EMP-20146,Operations,Standard,Material Procurement,2021-12-27,2022-01-19,769610.36,INR,30,Closed,Low,2021-22,2021-12-27T18:17:00,2022-01-06T02:17:00
PO-2022-000053,VEN-100566,EMP-20103,EMP-20146,Admin,Standard,Material Procurement,2022-07-26,2022-08-17,591545.32,INR,30,Approved,Medium,2022-23,2022-07-26T11:48:00,2022-08-02T17:48:00
PO-2025-000054,VEN-100456,EMP-20008,EMP-20058,Operations,Standard,Raw Materials,2025-12-08,2026-01-01,276885.98,INR,60,Closed,High,2025-26,2025-12-08T12:35:00,2025-12-08T20:35:00
PO-2023-000055,VEN-100359,EMP-20019,EMP-20128,Procurement,Standard,Professional Services,2023-07-07,2023-07-22,339981.80,INR,15,Closed,Low,2023-24,2023-07-07T09:18:00,2023-07-10T15:18:00
PO-2024-000056,VEN-100714,EMP-20060,EMP-20114,Procurement,Standard,Professional Services,2024-02-02,2024-02-22,475705.58,EUR,30,Closed,Medium,2023-24,2024-02-02T13:44:00,2024-02-09T17:44:00
PO-2022-000057,VEN-100436,EMP-20062,EMP-20128,IT,Standard,Professional Services,2022-01-15,2022-02-02,583995.36,INR,30,Approved,Low,2021-22,2022-01-15T11:47:00,2022-01-22T15:47:00
PO-2021-000058,VEN-100639,EMP-20118,EMP-20067,Procurement,Service,Material Procurement,2021-01-29,2021-02-26,1471740.41,INR,60,Partially Invoiced,Medium,2020-21,2021-01-29T10:17:00,2021-01-29T10:17:00
PO-2024-000059,VEN-100614,EMP-20067,,Legal,Service,IT & Software,2024-03-21,2024-04-14,233105.26,INR,15,Pending Approval,Low,2023-24,2024-03-21T15:30:00,2024-03-28T20:30:00
PO-2024-000060,VEN-100355,EMP-20012,EMP-20007,IT,Standard,Material Procurement,2024-07-13,2024-08-07,692835.30,INR,30,Approved,Medium,2024-25,2024-07-13T08:09:00,2024-07-15T12:09:00
PO-2023-000061,VEN-100287,EMP-20060,EMP-20133,Procurement,Standard,Construction & Contracting,2023-02-19,2023-03-13,617443.67,INR,45,Closed,Low,2022-23,2023-02-19T15:19:00,2023-02-28T21:19:00
PO-2024-000062,VEN-100432,EMP-20127,EMP-20133,Procurement,Service,Professional Services,2024-09-14,2024-10-05,933964.82,INR,45,Partially Invoiced,Medium,2024-25,2024-09-14T10:15:00,2024-09-16T18:15:00
PO-2022-000063,VEN-100280,EMP-20041,EMP-20055,Procurement,Standard,Material Procurement,2022-08-03,2022-08-25,374140.37,INR,30,Closed,Medium,2022-23,2022-08-03T09:43:00,2022-08-06T13:43:00
PO-2022-000064,VEN-100665,EMP-20132,EMP-20103,Admin,Service,Professional Services,2022-06-29,2022-07-21,1403819.26,INR,30,Approved,Medium,2022-23,2022-06-29T09:03:00,2022-07-01T13:03:00
PO-2023-000065,VEN-100645,EMP-20127,EMP-20085,Procurement,Contract,Professional Services,2023-10-22,2023-12-14,9343915.52,INR,30,Closed,Low,2023-24,2023-10-22T15:28:00,2023-10-23T15:28:00
PO-2025-000066,VEN-100528,EMP-20071,EMP-20148,Admin,Service,Material Procurement,2025-04-16,2025-05-16,87504.09,INR,60,Approved,Low,2025-26,2025-04-16T12:36:00,2025-04-16T14:36:00
PO-2026-000067,VEN-100558,EMP-20116,EMP-20110,Procurement,Service,Logistics & Transportation,2026-06-08,2026-06-29,1378305.54,INR,30,Approved,Medium,2026-27,2026-06-08T15:22:00,2026-06-14T20:22:00
PO-2025-000068,VEN-100444,EMP-20148,EMP-20105,IT,Standard,IT & Software,2025-07-25,2025-08-17,149639.26,INR,15,Approved,Medium,2025-26,2025-07-25T08:29:00,2025-07-26T13:29:00
PO-2025-000069,VEN-100399,EMP-20071,,Admin,Standard,Professional Services,2025-11-16,2025-12-09,623724.64,INR,30,Pending Approval,High,2025-26,2025-11-16T15:26:00,2025-11-16T18:26:00
PO-2026-000070,VEN-100591,EMP-20078,EMP-20001,Admin,Service,Material Procurement,2026-03-15,2026-04-08,772815.00,INR,15,Approved,Medium,2025-26,2026-03-15T15:56:00,2026-03-22T16:56:00
PO-2022-000071,VEN-100252,EMP-20142,EMP-20114,Operations,Service,Material Procurement,2022-04-06,2022-04-27,396981.32,INR,90,Approved,Medium,2022-23,2022-04-06T15:07:00,2022-04-16T17:07:00
PO-2023-000072,VEN-100578,EMP-20067,EMP-20081,Legal,Standard,Professional Services,2023-02-25,2023-03-15,236904.29,INR,45,Partially Invoiced,Medium,2022-23,2023-02-25T17:32:00,2023-02-27T18:32:00
PO-2024-000073,VEN-100415,EMP-20088,EMP-20001,Procurement,Standard,Professional Services,2024-04-17,2024-05-11,635480.99,INR,45,Approved,Medium,2024-25,2024-04-17T18:31:00,2024-04-20T01:31:00
PO-2026-000074,VEN-100603,EMP-20107,EMP-20081,Admin,Standard,Construction & Contracting,2026-07-02,2026-07-20,452736.00,INR,30,Closed,High,2026-27,2026-07-02T17:24:00,2026-07-05T23:24:00
PO-2024-000075,VEN-100261,EMP-20070,EMP-20075,IT,Service,Logistics & Transportation,2024-08-28,2024-09-19,1072580.43,INR,30,Partially Invoiced,Urgent,2024-25,2024-08-28T15:02:00,2024-08-30T23:02:00
PO-2021-000076,VEN-100639,EMP-20073,EMP-20103,Procurement,Blanket,Material Procurement,2021-10-23,2021-11-28,4433856.68,INR,60,Approved,High,2021-22,2021-10-23T18:09:00,2021-10-25T01:09:00
PO-2023-000077,VEN-100408,EMP-20075,EMP-20058,IT,Service,Material Procurement,2023-02-18,2023-03-15,626350.82,INR,30,Approved,High,2022-23,2023-02-18T18:45:00,2023-02-26T02:45:00
PO-2023-000078,VEN-100257,EMP-20138,,Admin,Standard,Logistics & Transportation,2023-06-08,2023-06-24,514149.79,INR,45,Pending Approval,Urgent,2023-24,2023-06-08T18:45:00,2023-06-10T01:45:00
PO-2022-000079,VEN-100344,EMP-20068,EMP-20055,Admin,Blanket,Material Procurement,2022-05-16,2022-06-23,706959.36,INR,30,Partially Invoiced,Medium,2022-23,2022-05-16T14:36:00,2022-05-26T16:36:00
PO-2022-000080,VEN-100346,EMP-20047,EMP-20019,Procurement,Standard,IT & Software,2022-04-21,2022-05-13,699900.69,INR,30,Closed,Low,2022-23,2022-04-21T18:16:00,2022-04-28T22:16:00
PO-2022-000081,VEN-100696,EMP-20002,EMP-20103,Admin,Blanket,IT & Software,2022-12-09,2023-01-17,2593639.65,INR,30,Approved,Medium,2022-23,2022-12-09T12:40:00,2022-12-15T16:40:00
PO-2022-000082,VEN-100547,EMP-20068,EMP-20019,Admin,Standard,Material Procurement,2022-08-29,2022-09-17,323137.27,INR,30,Closed,Medium,2022-23,2022-08-29T08:53:00,2022-09-08T14:53:00
PO-2025-000083,VEN-100414,EMP-20002,EMP-20008,Admin,Service,Professional Services,2025-09-02,2025-09-26,1044409.26,INR,45,Partially Invoiced,High,2025-26,2025-09-02T11:38:00,2025-09-07T14:38:00
PO-2021-000084,VEN-100673,EMP-20051,EMP-20127,Legal,Service,Material Procurement,2021-07-18,2021-08-17,1032758.47,INR,15,Partially Invoiced,Low,2021-22,2021-07-18T18:02:00,2021-07-23T01:02:00
PO-2022-000085,VEN-100255,EMP-20130,,IT,Standard,Construction & Contracting,2022-02-16,2022-03-05,126844.15,INR,30,Pending Approval,Medium,2021-22,2022-02-16T16:56:00,2022-02-22T00:56:00
PO-2025-000086,VEN-100580,EMP-20064,EMP-20080,Legal,Blanket,Professional Services,2025-11-18,2025-12-23,1656365.38,INR,30,Partially Invoiced,Urgent,2025-26,2025-11-18T09:29:00,2025-11-19T11:29:00
PO-2021-000087,VEN-100381,EMP-20150,EMP-20103,Legal,Service,IT & Software,2021-01-29,2021-02-22,1470916.25,INR,30,Cancelled,Medium,2020-21,2021-01-29T16:07:00,2021-02-05T21:07:00
PO-2021-000088,VEN-100700,EMP-20150,EMP-20058,Legal,Standard,Construction & Contracting,2021-02-21,2021-03-17,320294.76,INR,30,Closed,Medium,2020-21,2021-02-21T16:20:00,2021-03-02T19:20:00
PO-2026-000089,VEN-100680,EMP-20016,EMP-20117,Operations,Service,Construction & Contracting,2026-04-22,2026-05-12,723187.93,INR,60,Partially Invoiced,Medium,2026-27,2026-04-22T12:31:00,2026-04-23T13:31:00
PO-2024-000090,VEN-100386,EMP-20121,EMP-20128,Procurement,Standard,Professional Services,2024-04-17,2024-05-04,376573.91,INR,30,Closed,Low,2024-25,2024-04-17T14:41:00,2024-04-18T21:41:00
PO-2025-000091,VEN-100659,EMP-20087,EMP-20078,Procurement,Contract,Construction & Contracting,2025-10-18,2025-12-07,6315062.66,INR,15,Closed,Medium,2025-26,2025-10-18T09:43:00,2025-10-23T17:43:00
PO-2022-000092,VEN-100677,EMP-20077,EMP-20146,Procurement,Standard,IT & Software,2022-03-11,2022-04-05,238808.12,INR,45,Cancelled,High,2021-22,2022-03-11T18:38:00,2022-03-11T18:38:00
PO-2025-000093,VEN-100451,EMP-20060,EMP-20111,Procurement,Contract,Material Procurement,2025-11-17,2026-01-04,15952583.90,INR,15,Approved,Medium,2025-26,2025-11-17T13:49:00,2025-11-19T13:49:00
PO-2021-000094,VEN-100415,EMP-20038,EMP-20004,Admin,Contract,Professional Services,2021-01-31,2021-03-22,11264093.68,INR,45,Partially Invoiced,Low,2020-21,2021-01-31T11:37:00,2021-02-05T11:37:00
PO-2023-000095,VEN-100349,EMP-20063,EMP-20128,Procurement,Standard,Material Procurement,2023-01-12,2023-02-04,599831.49,INR,30,Closed,Medium,2022-23,2023-01-12T17:06:00,2023-01-20T01:06:00
PO-2026-000096,VEN-100379,EMP-20135,,Procurement,Standard,Material Procurement,2026-05-29,2026-06-13,632000.92,INR,90,Pending Approval,Low,2026-27,2026-05-29T08:30:00,2026-06-04T14:30:00
PO-2021-000097,VEN-100709,EMP-20025,EMP-20007,IT,Standard,Construction & Contracting,2021-09-16,2021-10-05,730018.14,INR,30,Approved,Medium,2021-22,2021-09-16T17:40:00,2021-09-26T01:40:00
PO-2024-000098,VEN-100728,EMP-20071,EMP-20114,Admin,Standard,Professional Services,2024-12-08,2024-12-24,487978.69,INR,30,Approved,Low,2024-25,2024-12-08T18:41:00,2024-12-16T21:41:00
PO-2023-000099,VEN-100527,EMP-20097,EMP-20075,Operations,Blanket,Material Procurement,2023-05-25,2023-06-29,2362161.07,INR,60,Partially Invoiced,Medium,2023-24,2023-05-25T18:16:00,2023-05-30T20:16:00
PO-2021-000100,VEN-100711,EMP-20105,EMP-20007,Procurement,Standard,Material Procurement,2021-09-24,2021-10-17,669623.21,INR,30,Approved,Low,2021-22,2021-09-24T08:37:00,2021-10-02T16:37:00
PO-2021-000101,VEN-100449,EMP-20148,EMP-20133,IT,Standard,Professional Services,2021-04-16,2021-05-05,299038.51,INR,45,Closed,Medium,2021-22,2021-04-16T17:19:00,2021-04-21T18:19:00
PO-2021-000102,VEN-100631,EMP-20112,EMP-20007,Admin,Standard,Construction & Contracting,2021-08-24,2021-09-12,533970.63,INR,60,Approved,Medium,2021-22,2021-08-24T17:14:00,2021-08-31T01:14:00
PO-2022-000103,VEN-100663,EMP-20135,EMP-20117,Procurement,Service,Professional Services,2022-01-05,2022-01-29,857272.64,INR,30,Closed,High,2021-22,2022-01-05T12:58:00,2022-01-10T17:58:00
PO-2021-000104,VEN-100237,EMP-20048,EMP-20059,Legal,Blanket,Material Procurement,2021-07-07,2021-08-14,3048444.93,USD,30,Approved,Low,2021-22,2021-07-07T11:24:00,2021-07-13T18:24:00
PO-2021-000105,VEN-100458,EMP-20041,EMP-20116,Procurement,Standard,Construction & Contracting,2021-11-15,2021-12-02,584236.88,INR,60,Partially Invoiced,Low,2021-22,2021-11-15T17:03:00,2021-11-25T18:03:00
PO-2022-000106,VEN-100412,EMP-20095,EMP-20055,Operations,Service,Construction & Contracting,2022-12-08,2023-01-03,754209.47,INR,60,Approved,Medium,2022-23,2022-12-08T09:18:00,2022-12-18T16:18:00
PO-2026-000107,VEN-100596,EMP-20148,,IT,Standard,Material Procurement,2026-04-21,2026-05-09,195901.79,INR,30,Rejected,Medium,2026-27,2026-04-21T10:48:00,2026-04-25T14:48:00
PO-2024-000108,VEN-100448,EMP-20030,EMP-20069,Legal,Standard,Professional Services,2024-02-19,2024-03-15,603935.95,INR,30,Approved,Low,2023-24,2024-02-19T13:04:00,2024-02-25T13:04:00
PO-2023-000109,VEN-100531,EMP-20007,EMP-20107,Procurement,Standard,Material Procurement,2023-05-06,2023-05-25,85343.52,INR,45,Approved,Low,2023-24,2023-05-06T09:25:00,2023-05-06T14:25:00
PO-2024-000110,VEN-100348,EMP-20138,EMP-20069,Admin,Standard,Professional Services,2024-04-21,2024-05-12,559447.78,INR,30,Approved,High,2024-25,2024-04-21T16:05:00,2024-04-27T20:05:00
PO-2025-000111,VEN-100458,EMP-20057,EMP-20046,Legal,Standard,Construction & Contracting,2025-05-09,2025-05-29,155302.85,INR,60,Closed,Low,2025-26,2025-05-09T13:46:00,2025-05-19T15:46:00
PO-2026-000112,VEN-100387,EMP-20025,EMP-20141,IT,Standard,Construction & Contracting,2026-05-03,2026-05-28,177885.65,INR,60,Closed,High,2026-27,2026-05-03T15:29:00,2026-05-12T22:29:00
PO-2023-000113,VEN-100707,EMP-20127,EMP-20072,Procurement,Service,Logistics & Transportation,2023-06-25,2023-07-25,1480471.32,INR,30,Approved,Medium,2023-24,2023-06-25T12:50:00,2023-06-29T12:50:00
PO-2025-000114,VEN-100466,EMP-20112,EMP-20058,Admin,Standard,Professional Services,2025-11-05,2025-11-21,382850.43,INR,45,Approved,High,2025-26,2025-11-05T17:38:00,2025-11-13T23:38:00
PO-2024-000115,VEN-100551,EMP-20130,,IT,Service,Raw Materials,2024-08-27,2024-09-19,1198135.81,INR,30,Pending Approval,Medium,2024-25,2024-08-27T13:38:00,2024-09-03T21:38:00
PO-2021-000116,VEN-100333,EMP-20015,EMP-20128,Operations,Standard,Construction & Contracting,2021-03-22,2021-04-09,653499.28,INR,90,Partially Invoiced,Medium,2020-21,2021-03-22T15:28:00,2021-03-30T23:28:00
PO-2025-000117,VEN-100654,EMP-20041,EMP-20133,Procurement,Standard,Material Procurement,2025-06-05,2025-06-30,736401.01,INR,15,Approved,Medium,2025-26,2025-06-05T18:21:00,2025-06-06T23:21:00
PO-2021-000118,VEN-100294,EMP-20126,EMP-20117,Procurement,Service,Material Procurement,2021-11-04,2021-11-29,462013.11,INR,45,Partially Invoiced,Urgent,2021-22,2021-11-04T09:37:00,2021-11-14T11:37:00
PO-2024-000119,VEN-100463,EMP-20069,EMP-20111,Procurement,Contract,Material Procurement,2024-02-19,2024-04-10,14271119.29,INR,60,Approved,Low,2023-24,2024-02-19T18:50:00,2024-02-24T20:50:00
PO-2022-000120,VEN-100698,EMP-20118,EMP-20001,Procurement,Standard,Material Procurement,2022-03-15,2022-04-04,544603.43,INR,30,Closed,Medium,2021-22,2022-03-15T15:12:00,2022-03-18T17:12:00
PO-2021-000121,VEN-100335,EMP-20018,EMP-20114,Operations,Standard,Material Procurement,2021-03-19,2021-04-13,635793.13,INR,60,Closed,High,2020-21,2021-03-19T13:56:00,2021-03-28T15:56:00
PO-2023-000122,VEN-100646,EMP-20080,EMP-20123,Procurement,Standard,Material Procurement,2023-06-16,2023-07-01,165155.62,INR,60,Closed,High,2023-24,2023-06-16T14:23:00,2023-06-26T17:23:00
PO-2025-000123,VEN-100538,EMP-20135,EMP-20114,Procurement,Standard,IT & Software,2025-05-26,2025-06-17,605115.80,USD,45,Approved,Medium,2025-26,2025-05-26T11:23:00,2025-06-05T18:23:00
PO-2021-000124,VEN-100551,EMP-20066,EMP-20010,Procurement,Service,Raw Materials,2021-10-11,2021-11-04,779214.70,INR,30,Approved,High,2021-22,2021-10-11T08:41:00,2021-10-18T13:41:00
PO-2026-000125,VEN-100614,EMP-20025,EMP-20007,IT,Service,IT & Software,2026-01-29,2026-02-26,798068.61,INR,15,Approved,High,2025-26,2026-01-29T10:53:00,2026-02-04T11:53:00
PO-2021-000126,VEN-100379,EMP-20097,EMP-20075,Operations,Blanket,Material Procurement,2021-06-17,2021-07-22,4687123.67,INR,90,Approved,Low,2021-22,2021-06-17T11:01:00,2021-06-22T12:01:00
PO-2024-000127,VEN-100730,EMP-20145,EMP-20105,Operations,Standard,Logistics & Transportation,2024-12-15,2025-01-06,138188.21,INR,30,Approved,Low,2024-25,2024-12-15T15:39:00,2024-12-15T16:39:00
